model,AUC,PR-AUC,F1_illicit,Precision,Recall,MCC
Logistic Regression,0.881179127360733,0.2892762108554747,0.30165816326530615,0.18230873000578146,0.8734995383194829,0.32006968551517045
Random Forest,0.935418842595645,0.7951374463731722,0.8055413032324269,0.9064665127020786,0.7248384118190212,0.7992256338621159
XGBoost,0.9282685259711358,0.7998598189987401,0.7930174563591023,0.8622559652928417,0.7340720221606648,0.7827239290525827
SVM,0.861851901941866,0.33869128661864006,0.4818586887332909,0.36765420106847985,0.6989843028624192,0.4610227476622821
