lr,hidden_channels,F1_mean,F1_std
0.001,32,0.341514528810668,0.05703424403287117
0.001,64,0.36421189456935527,0.04403406107636717
0.001,128,0.3795593625539117,0.011960298490833876
0.005,32,0.37681511357177916,0.054593998805798655
0.005,64,0.419981167463869,0.04824216133737405
0.005,128,0.36034798958049397,0.011423353649080549
0.01,32,0.37451123412029036,0.026612081448132974
0.01,64,0.4328176355877799,0.02662525533412414
0.01,128,0.39158321786682687,0.031160531425097983
