model,AUC,PR-AUC,F1,Precision,Recall,MCC,threshold,seed
GraphSAGE,0.8708792118535694,0.35625021672026436,0.48224736636753807,0.4175675675675676,0.5706371191135734,0.4465551203352559,0.7200000000000002,42
GraphSAGE,0.8653114994318075,0.3449008709695873,0.4318463444857497,0.32494172494172496,0.6435826408125577,0.4053468457944859,0.9500000000000002,1
GraphSAGE,0.8723897812184682,0.3376583739531986,0.4740007074637425,0.3841743119266055,0.61865189289012,0.44270502083524693,0.7900000000000001,7
GraphSAGE,0.8775267359729482,0.392431037571393,0.4908896034297964,0.40034965034965037,0.6343490304709142,0.4609572407236935,0.8200000000000002,123
GraphSAGE,0.8747439460672326,0.38349215488088023,0.4511415525114155,0.33651226158038144,0.6842105263157895,0.4298201084036856,0.8200000000000002,2024
GraphSAGE,0.8694095767591917,0.35826779118094737,0.3964757709251101,0.27557636887608067,0.7063711911357341,0.38195646080362006,0.6900000000000002,2
GraphSAGE,0.8642959030008256,0.32758469682901936,0.40802859499587574,0.29052466718872355,0.6851338873499538,0.38927122969223854,0.7700000000000002,3
GraphSAGE,0.870405239207496,0.3405971080899257,0.4477329974811083,0.33970377448638317,0.6565096952908587,0.4223839680545592,0.7200000000000002,4
GraphSAGE,0.8619237294425989,0.3208561534333319,0.40800444691495275,0.29184890656063617,0.6777469990766389,0.38801991130612035,0.8100000000000002,5
GraphSAGE,0.8640025802215437,0.3234264076841276,0.4293304994686504,0.3482758620689655,0.5595567867036011,0.3924144342178676,0.9500000000000002,6
GraphSAGE,0.8754784526087482,0.40717150043256306,0.4801358234295416,0.37969924812030076,0.6528162511542013,0.45281726166954595,0.7800000000000001,8
GraphSAGE,0.8768759936261017,0.3796850534304344,0.4789665452136469,0.3734504132231405,0.667590027700831,0.4536952743973564,0.6900000000000002,9
GraphSAGE,0.8515960307619563,0.2822985635579605,0.4012503552145496,0.28981937602627256,0.6518928901200369,0.37740941795575716,0.5600000000000002,10
GraphSAGE,0.8756367693062401,0.3807232834854407,0.4443069306930693,0.3341088878548162,0.6629732225300092,0.42008902211070215,0.7800000000000001,11
GraphSAGE,0.8773820739054924,0.3931835069527643,0.446229913473424,0.3353460287970274,0.6666666666666666,0.422470776975481,0.5200000000000001,12
